mpi-single,sort16M.data,247,0,2,1,2,2,16777216,8710,4355,
mpi-single,sort16M.data,247,1,2,1,2,2,16777216,8710,4355,
mpi-single,sort16M.data,247,2,2,1,2,2,16777216,8710,4355,
mpi-single,sort16M.data,247,3,2,1,2,2,16777216,8710,4355,
mpi-single,sort64M.data,261,0,2,1,2,2,67108864,28842,14421,
mpi-single,sort64M.data,261,1,2,1,2,2,67108864,28842,14421,
mpi-single,sort64M.data,261,2,2,1,2,2,67108864,28842,14421,
mpi-single,sort64M.data,261,3,2,1,2,2,67108864,28842,14421,
radix-sort,sort1G.data,130,6,1,1,1,1,1073741824,214748,214748,
sort-unstable,sort1G.data,130,6,1,1,1,1,1073741824,214748,214748,
radix-sort,sort1G.data,130,7,1,1,1,1,1073741824,214748,214748,
sort-unstable,sort1G.data,130,7,1,1,1,1,1073741824,214748,214748,
radix-sort,sort256M.data,117,0,1,1,1,1,268435456,1000,1000,
sort-unstable,sort256M.data,117,0,1,1,1,1,268435456,1000,1000,
radix-sort,sort256M.data,117,1,1,1,1,1,268435456,1000,1000,
sort-unstable,sort256M.data,117,1,1,1,1,1,268435456,1000,1000,
radix-sort,sort256M.data,117,2,1,1,1,1,268435456,1000,1000,
sort-unstable,sort256M.data,117,2,1,1,1,1,268435456,1000,1000,
radix-sort,sort256M.data,117,3,1,1,1,1,268435456,1000,1000,
sort-unstable,sort256M.data,117,3,1,1,1,1,268435456,1000,1000,
mpi-single,sort256M.data,276,0,2,2,4,4,268435456,75580,18895,
mpi-single,sort256M.data,276,1,2,2,4,4,268435456,75580,18895,
mpi-single,sort256M.data,276,2,2,2,4,4,268435456,75580,18895,
mpi-single,sort256M.data,276,3,2,2,4,4,268435456,75580,18895,
mpi-single,sort256M.data,275,0,2,1,2,2,268435456,109374,54687,
mpi-single,sort256M.data,275,1,2,1,2,2,268435456,109374,54687,
mpi-single,sort256M.data,275,2,2,1,2,2,268435456,109374,54687,
mpi-single,sort256M.data,275,3,2,1,2,2,268435456,109374,54687,
mpi-multi,sort256M.data,270,0,2,2,4,16,268435456,75580,18895,
mpi-multi,sort256M.data,270,1,2,2,4,16,268435456,75580,18895,
mpi-multi,sort256M.data,270,2,2,2,4,16,268435456,75580,18895,
mpi-multi,sort256M.data,270,3,2,2,4,16,268435456,75580,18895,
mpi-single,sort256M.data,278,0,2,8,16,16,268435456,73264,4579,
mpi-single,sort256M.data,278,1,2,8,16,16,268435456,73264,4579,
mpi-single,sort256M.data,278,2,2,8,16,16,268435456,73264,4579,
mpi-single,sort256M.data,278,3,2,8,16,16,268435456,73264,4579,
mpi-single,sort256M.data,430,0,4,2,8,8,268435456,69352,8669,
mpi-single,sort256M.data,430,1,4,2,8,8,268435456,69352,8669,
mpi-single,sort256M.data,430,2,4,2,8,8,268435456,69352,8669,
mpi-single,sort256M.data,430,3,4,2,8,8,268435456,69352,8669,
mpi-single,sort256M.data,566,0,8,2,16,16,268435456,73264,4579,
mpi-single,sort256M.data,566,1,8,2,16,16,268435456,73264,4579,
mpi-single,sort256M.data,566,2,8,2,16,16,268435456,73264,4579,
mpi-single,sort256M.data,566,3,8,2,16,16,268435456,73264,4579,
mpi-single,sort256M.data,678,0,16,1,16,16,268435456,73264,4579,
mpi-single,sort256M.data,678,1,16,1,16,16,268435456,73264,4579,
mpi-single,sort256M.data,678,2,16,1,16,16,268435456,73264,4579,
mpi-single,sort256M.data,678,3,16,1,16,16,268435456,73264,4579,
mpi-single,sort256M.data,277,0,2,4,8,8,268435456,69352,8669,
mpi-single,sort256M.data,277,1,2,4,8,8,268435456,69352,8669,
mpi-single,sort256M.data,277,2,2,4,8,8,268435456,69352,8669,
mpi-single,sort256M.data,277,3,2,4,8,8,268435456,69352,8669,
mpi-single,sort256M.data,429,0,4,1,4,4,268435456,75580,18895,
mpi-single,sort256M.data,429,1,4,1,4,4,268435456,75580,18895,
mpi-single,sort256M.data,429,2,4,1,4,4,268435456,75580,18895,
mpi-single,sort256M.data,429,3,4,1,4,4,268435456,75580,18895,
mpi-single,sort256M.data,565,0,8,1,8,8,268435456,69352,8669,
mpi-single,sort256M.data,565,1,8,1,8,8,268435456,69352,8669,
mpi-single,sort256M.data,565,2,8,1,8,8,268435456,69352,8669,
mpi-single,sort256M.data,565,3,8,1,8,8,268435456,69352,8669,
mpi-multi,sort256M.data,423,0,4,1,4,16,268435456,75580,18895,
mpi-multi,sort256M.data,423,1,4,1,4,16,268435456,75580,18895,
mpi-multi,sort256M.data,423,2,4,1,4,16,268435456,75580,18895,
mpi-multi,sort256M.data,423,3,4,1,4,16,268435456,75580,18895,
mpi-single,sort256M.data,431,0,4,4,16,16,268435456,73264,4579,
mpi-single,sort256M.data,431,1,4,4,16,16,268435456,73264,4579,
mpi-single,sort256M.data,431,2,4,4,16,16,268435456,73264,4579,
mpi-single,sort256M.data,431,3,4,4,16,16,268435456,73264,4579,
mpi-multi,sort1G.data,284,0,2,2,4,16,1073741824,290328,72582,
mpi-multi,sort1G.data,284,1,2,2,4,16,1073741824,290328,72582,
mpi-multi,sort1G.data,284,2,2,2,4,16,1073741824,290328,72582,
mpi-multi,sort1G.data,284,3,2,2,4,16,1073741824,290328,72582,
mpi-single,sort1G.data,294,0,2,32,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,294,1,2,32,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,294,2,2,32,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,294,3,2,32,64,64,1073741824,282112,4408,
mpi-single,sort64M.data,415,0,4,1,4,4,67108864,21892,5473,
mpi-single,sort64M.data,415,1,4,1,4,4,67108864,21892,5473,
mpi-single,sort64M.data,415,2,4,1,4,4,67108864,21892,5473,
mpi-single,sort64M.data,415,3,4,1,4,4,67108864,21892,5473,
mpi-single,sort1G.data,446,0,4,8,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,446,1,4,8,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,446,2,4,8,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,446,3,4,8,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,293,0,2,16,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,293,1,2,16,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,293,2,2,16,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,293,3,2,16,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,447,0,4,16,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,447,1,4,16,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,447,2,4,16,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,447,3,4,16,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,580,0,8,8,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,580,1,8,8,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,580,2,8,8,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,580,3,8,8,64,64,1073741824,282112,4408,
mpi-single,sort256M.data,971,0,2,8,16,16,268435456,73264,4579,
mpi-single,sort256M.data,971,1,2,8,16,16,268435456,73264,4579,
mpi-single,sort256M.data,971,2,2,8,16,16,268435456,73264,4579,
mpi-single,sort256M.data,971,3,2,8,16,16,268435456,73264,4579,
mpi-single,sort256M.data,1123,0,4,2,8,8,268435456,69352,8669,
mpi-single,sort256M.data,1123,1,4,2,8,8,268435456,69352,8669,
mpi-single,sort256M.data,1123,2,4,2,8,8,268435456,69352,8669,
mpi-single,sort256M.data,1123,3,4,2,8,8,268435456,69352,8669,
mpi-single,sort256M.data,1259,0,8,2,16,16,268435456,73264,4579,
mpi-single,sort256M.data,1259,1,8,2,16,16,268435456,73264,4579,
mpi-single,sort256M.data,1259,2,8,2,16,16,268435456,73264,4579,
mpi-single,sort256M.data,1259,3,8,2,16,16,268435456,73264,4579,
mpi-single,sort256M.data,1371,0,16,1,16,16,268435456,73264,4579,
mpi-single,sort256M.data,1371,1,16,1,16,16,268435456,73264,4579,
mpi-single,sort256M.data,1371,2,16,1,16,16,268435456,73264,4579,
mpi-single,sort256M.data,1371,3,16,1,16,16,268435456,73264,4579,
mpi-single,sort1G.data,579,0,8,4,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,579,1,8,4,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,579,2,8,4,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,579,3,8,4,32,32,1073741824,253664,7927,
mpi-single,sort256M.data,968,0,2,1,2,2,268435456,109374,54687,
mpi-single,sort256M.data,968,1,2,1,2,2,268435456,109374,54687,
mpi-single,sort256M.data,968,2,2,1,2,2,268435456,109374,54687,
mpi-single,sort256M.data,968,3,2,1,2,2,268435456,109374,54687,
mpi-single,sort1G.data,577,0,8,1,8,8,1073741824,253424,31678,
mpi-single,sort1G.data,577,1,8,1,8,8,1073741824,253424,31678,
mpi-single,sort1G.data,577,2,8,1,8,8,1073741824,253424,31678,
mpi-single,sort1G.data,577,3,8,1,8,8,1073741824,253424,31678,
mpi-single,sort1G.data,689,0,16,2,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,689,1,16,2,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,689,2,16,2,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,689,3,16,2,32,32,1073741824,253664,7927,
mpi-single,sort256M.data,969,0,2,2,4,4,268435456,75580,18895,
mpi-single,sort256M.data,969,1,2,2,4,4,268435456,75580,18895,
mpi-single,sort256M.data,969,2,2,2,4,4,268435456,75580,18895,
mpi-single,sort256M.data,969,3,2,2,4,4,268435456,75580,18895,
mpi-single,sort1G.data,445,0,4,4,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,445,1,4,4,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,445,2,4,4,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,445,3,4,4,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,1273,0,8,8,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,1273,1,8,8,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,1273,2,8,8,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,1273,3,8,8,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,1140,0,4,16,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,1140,1,4,16,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,1140,2,4,16,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,1140,3,4,16,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,1139,0,4,8,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,1139,1,4,8,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,1139,2,4,8,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,1139,3,4,8,32,32,1073741824,253664,7927,
mpi-single,sort256M.data,1664,0,2,8,16,16,268435456,73264,4579,
mpi-single,sort256M.data,1664,1,2,8,16,16,268435456,73264,4579,
mpi-single,sort256M.data,1664,2,2,8,16,16,268435456,73264,4579,
mpi-single,sort256M.data,1664,3,2,8,16,16,268435456,73264,4579,
mpi-single,sort16M.data,247,0,2,1,2,2,16777216,8710,4355,
mpi-single,sort16M.data,247,1,2,1,2,2,16777216,8710,4355,
mpi-single,sort16M.data,247,2,2,1,2,2,16777216,8710,4355,
mpi-single,sort16M.data,247,3,2,1,2,2,16777216,8710,4355,
mpi-single,sort256M.data,1816,0,4,2,8,8,268435456,69352,8669,
mpi-single,sort256M.data,1816,1,4,2,8,8,268435456,69352,8669,
mpi-single,sort256M.data,1816,2,4,2,8,8,268435456,69352,8669,
mpi-single,sort256M.data,1816,3,4,2,8,8,268435456,69352,8669,
mpi-single,sort256M.data,1952,0,8,2,16,16,268435456,73264,4579,
mpi-single,sort256M.data,1952,1,8,2,16,16,268435456,73264,4579,
mpi-single,sort256M.data,1952,2,8,2,16,16,268435456,73264,4579,
mpi-single,sort256M.data,1952,3,8,2,16,16,268435456,73264,4579,
mpi-single,sort256M.data,2064,0,16,1,16,16,268435456,73264,4579,
mpi-single,sort256M.data,2064,1,16,1,16,16,268435456,73264,4579,
mpi-single,sort256M.data,2064,2,16,1,16,16,268435456,73264,4579,
mpi-single,sort256M.data,2064,3,16,1,16,16,268435456,73264,4579,
mpi-single,sort1G.data,443,0,4,1,4,4,1073741824,290328,72582,
mpi-single,sort1G.data,443,1,4,1,4,4,1073741824,290328,72582,
mpi-single,sort1G.data,443,2,4,1,4,4,1073741824,290328,72582,
mpi-single,sort1G.data,443,3,4,1,4,4,1073741824,290328,72582,
mpi-multi,sort1G.data,571,0,8,1,8,32,1073741824,253424,31678,
mpi-multi,sort1G.data,571,1,8,1,8,32,1073741824,253424,31678,
mpi-multi,sort1G.data,571,2,8,1,8,32,1073741824,253424,31678,
mpi-multi,sort1G.data,571,3,8,1,8,32,1073741824,253424,31678,
mpi-single,sort256M.data,2357,0,2,8,16,16,268435456,73264,4579,
mpi-single,sort256M.data,2357,1,2,8,16,16,268435456,73264,4579,
mpi-single,sort256M.data,2357,2,2,8,16,16,268435456,73264,4579,
mpi-single,sort256M.data,2357,3,2,8,16,16,268435456,73264,4579,
mpi-single,sort256M.data,2509,0,4,2,8,8,268435456,69352,8669,
mpi-single,sort256M.data,2509,1,4,2,8,8,268435456,69352,8669,
mpi-single,sort256M.data,2509,2,4,2,8,8,268435456,69352,8669,
mpi-single,sort256M.data,2509,3,4,2,8,8,268435456,69352,8669,
mpi-single,sort256M.data,2645,0,8,2,16,16,268435456,73264,4579,
mpi-single,sort256M.data,2645,1,8,2,16,16,268435456,73264,4579,
mpi-single,sort256M.data,2645,2,8,2,16,16,268435456,73264,4579,
mpi-single,sort256M.data,2645,3,8,2,16,16,268435456,73264,4579,
mpi-single,sort256M.data,2757,0,16,1,16,16,268435456,73264,4579,
mpi-single,sort256M.data,2757,1,16,1,16,16,268435456,73264,4579,
mpi-single,sort256M.data,2757,2,16,1,16,16,268435456,73264,4579,
mpi-single,sort256M.data,2757,3,16,1,16,16,268435456,73264,4579,
mpi-single,sort1G.data,1833,0,4,16,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,1833,1,4,16,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,1833,2,4,16,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,1833,3,4,16,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,1678,0,2,8,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,1678,1,2,8,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,1678,2,2,8,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,1678,3,2,8,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,1966,0,8,8,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,1966,1,8,8,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,1966,2,8,8,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,1966,3,8,8,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,1137,0,4,2,8,8,1073741824,253424,31678,
mpi-single,sort1G.data,1137,1,4,2,8,8,1073741824,253424,31678,
mpi-single,sort1G.data,1137,2,4,2,8,8,1073741824,253424,31678,
mpi-single,sort1G.data,1137,3,4,2,8,8,1073741824,253424,31678,
mpi-single,sort1G.data,2526,0,4,16,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,2526,1,4,16,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,2526,2,4,16,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,2526,3,4,16,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,2371,0,2,8,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,2371,1,2,8,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,2371,2,2,8,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,2371,3,2,8,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,2659,0,8,8,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,2659,1,8,8,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,2659,2,8,8,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,2659,3,8,8,64,64,1073741824,282112,4408,
mpi-single,sort256M.data,2355,0,2,2,4,4,268435456,75580,18895,
mpi-single,sort256M.data,2355,1,2,2,4,4,268435456,75580,18895,
mpi-single,sort256M.data,2355,2,2,2,4,4,268435456,75580,18895,
mpi-single,sort256M.data,2355,3,2,2,4,4,268435456,75580,18895,
mpi-single,sort1G.data,984,0,2,4,8,8,1073741824,253424,31678,
mpi-single,sort1G.data,984,1,2,4,8,8,1073741824,253424,31678,
mpi-single,sort1G.data,984,2,2,4,8,8,1073741824,253424,31678,
mpi-single,sort1G.data,984,3,2,4,8,8,1073741824,253424,31678,
mpi-single,sort1G.data,1272,0,8,4,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,1272,1,8,4,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,1272,2,8,4,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,1272,3,8,4,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,986,0,2,16,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,986,1,2,16,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,986,2,2,16,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,986,3,2,16,32,32,1073741824,253664,7927,
mpi-multi,sort1G.data,1130,0,4,1,4,16,1073741824,290328,72582,
mpi-multi,sort1G.data,1130,1,4,1,4,16,1073741824,290328,72582,
mpi-multi,sort1G.data,1130,2,4,1,4,16,1073741824,290328,72582,
mpi-multi,sort1G.data,1130,3,4,1,4,16,1073741824,290328,72582,
mpi-single,sort1G.data,578,0,8,2,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,578,1,8,2,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,578,2,8,2,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,578,3,8,2,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,690,0,16,4,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,690,1,16,4,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,690,2,16,4,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,690,3,16,4,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,1832,0,4,8,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,1832,1,4,8,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,1832,2,4,8,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,1832,3,4,8,32,32,1073741824,253664,7927,
mpi-multi,sort1G.data,1135,3,4,32,128,512,1073741824,344320,2690,
mpi-single,sort1G.data,1271,0,8,2,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,1271,1,8,2,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,1271,2,8,2,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,1271,3,8,2,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,1383,0,16,4,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,1383,1,16,4,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,1383,2,16,4,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,1383,3,16,4,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,1679,0,2,16,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,1679,1,2,16,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,1679,2,2,16,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,1679,3,2,16,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,2372,0,2,16,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,2372,1,2,16,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,2372,2,2,16,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,2372,3,2,16,32,32,1073741824,253664,7927,
mpi-multi,sort1G.data,1823,0,4,1,4,16,1073741824,290328,72582,
mpi-multi,sort1G.data,1823,1,4,1,4,16,1073741824,290328,72582,
mpi-multi,sort1G.data,1823,2,4,1,4,16,1073741824,290328,72582,
mpi-multi,sort1G.data,1823,3,4,1,4,16,1073741824,290328,72582,
mpi-multi,sort1G.data,2516,0,4,1,4,16,1073741824,290328,72582,
mpi-multi,sort1G.data,2516,1,4,1,4,16,1073741824,290328,72582,
mpi-multi,sort1G.data,2516,2,4,1,4,16,1073741824,290328,72582,
mpi-multi,sort1G.data,2516,3,4,1,4,16,1073741824,290328,72582,
mpi-multi,sort1G.data,981,2,2,32,64,256,1073741824,282112,4408,
mpi-multi,sort1G.data,2521,2,4,32,128,512,1073741824,344320,2690,
mpi-multi,sort1G.data,978,0,2,4,8,32,1073741824,253424,31678,
mpi-multi,sort1G.data,978,1,2,4,8,32,1073741824,253424,31678,
mpi-multi,sort1G.data,978,2,2,4,8,32,1073741824,253424,31678,
mpi-multi,sort1G.data,978,3,2,4,8,32,1073741824,253424,31678,
mpi-single,sort1G.data,1138,0,4,4,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,1138,1,4,4,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,1138,2,4,4,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,1138,3,4,4,16,16,1073741824,245056,15316,
mpi-multi,sort1G.data,1671,0,2,4,8,32,1073741824,253424,31678,
mpi-multi,sort1G.data,1671,1,2,4,8,32,1073741824,253424,31678,
mpi-multi,sort1G.data,1671,2,2,4,8,32,1073741824,253424,31678,
mpi-multi,sort1G.data,1671,3,2,4,8,32,1073741824,253424,31678,
mpi-single,sort1G.data,1831,0,4,4,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,1831,1,4,4,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,1831,2,4,4,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,1831,3,4,4,16,16,1073741824,245056,15316,
mpi-multi,sort256M.data,2507,3,4,32,128,512,268435456,182016,1422,
mpi-single,sort1G.data,1677,0,2,4,8,8,1073741824,253424,31678,
mpi-single,sort1G.data,1677,1,2,4,8,8,1073741824,253424,31678,
mpi-single,sort1G.data,1677,2,2,4,8,8,1073741824,253424,31678,
mpi-single,sort1G.data,1677,3,2,4,8,8,1073741824,253424,31678,
mpi-single,sort1G.data,1965,0,8,4,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,1965,1,8,4,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,1965,2,8,4,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,1965,3,8,4,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,2369,0,2,2,4,4,1073741824,290328,72582,
mpi-single,sort1G.data,2369,1,2,2,4,4,1073741824,290328,72582,
mpi-single,sort1G.data,2369,2,2,2,4,4,1073741824,290328,72582,
mpi-single,sort1G.data,2369,3,2,2,4,4,1073741824,290328,72582,
mpi-single,sort1G.data,1964,0,8,2,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,1964,1,8,2,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,1964,2,8,2,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,1964,3,8,2,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,2076,0,16,4,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,2076,1,16,4,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,2076,2,16,4,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,2076,3,16,4,64,64,1073741824,282112,4408,
mpi-multi,sort1G.data,2364,0,2,4,8,32,1073741824,253424,31678,
mpi-multi,sort1G.data,2364,1,2,4,8,32,1073741824,253424,31678,
mpi-multi,sort1G.data,2364,2,2,4,8,32,1073741824,253424,31678,
mpi-multi,sort1G.data,2364,3,2,4,8,32,1073741824,253424,31678,
mpi-single,sort1G.data,2525,0,4,8,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,2525,1,4,8,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,2525,2,4,8,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,2525,3,4,8,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,2657,0,8,2,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,2657,1,8,2,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,2657,2,8,2,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,2657,3,8,2,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,2769,0,16,4,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,2769,1,16,4,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,2769,2,16,4,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,2769,3,16,4,64,64,1073741824,282112,4408,
mpi-single,sort1G.data,2370,0,2,4,8,8,1073741824,253424,31678,
mpi-single,sort1G.data,2370,1,2,4,8,8,1073741824,253424,31678,
mpi-single,sort1G.data,2370,2,2,4,8,8,1073741824,253424,31678,
mpi-single,sort1G.data,2370,3,2,4,8,8,1073741824,253424,31678,
mpi-single,sort1G.data,2658,0,8,4,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,2658,1,8,4,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,2658,2,8,4,32,32,1073741824,253664,7927,
mpi-single,sort1G.data,2658,3,8,4,32,32,1073741824,253664,7927,
mpi-multi,sort1G.data,2655,1,8,32,256,1024,1073741824,471552,1842,
mpi-single,sort1G.data,2767,0,16,1,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,2767,1,16,1,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,2767,2,16,1,16,16,1073741824,245056,15316,
mpi-single,sort1G.data,2767,3,16,1,16,16,1073741824,245056,15316,